Unnamed: 0,Inhibitor,Metal,Alloy,Temperature_K,pH,Salt_Concentrat_M,Efficiency,Cost/100 gm,Cost,Toxicity,Source,cluster_label
79,Sodium sulfite,Al,AA2024,298,7,0.6,98.7,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
78,Sodium sulfite,Al,AA2024,298,7,0.6,98.5,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
187,Cerium(IV) ammonium nitrate,Al,AA2024,298,7,0.01,97.3,10000,https://www.sigmaaldrich.com/IN/en/substance/ammoniumceriumivnitrate5482216774219,skin damage eye irritation respiratory irritation long lasting effect aquatic life,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium_IV_-ammonium-nitrate#datasheet=LCSS&section=GHS-Classification,1
28,4-Mercaptobenzoic acid,Al,AA2024,298,7,0.1,97,689000,https://www.sigmaaldrich.com/IN/en/product/aldrich/706329?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fhZH6xaeZtOqQi3SLfFU68g365mAiyxJ1OxaGZif_Xv5R8sZiALQHgaAmeeEALw_wcB,skin eye irritation may cause respiratory irritation,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7747936/,1
186,Cerium(IV) ammonium nitrate,Al,AA2024,298,7,0.01,96.2,10000,https://www.sigmaaldrich.com/IN/en/substance/ammoniumceriumivnitrate5482216774218,skin damage eye irritation respiratory irritation long lasting effect aquatic life,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium_IV_-ammonium-nitrate#datasheet=LCSS&section=GHS-Classification,1
83,Sodium sulfite,Al,AA2024,308,7,0.6,96,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
173,Cerium(III) chloride,Al,AA2024,298,7,0.01,95.9,68908.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/298190,skineye respiratory irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium(III)%20sulfate#section=Safety-and-Hazards,1
185,Cerium(IV) ammonium nitrate,Al,AA2024,298,7,0.01,95.7,10000,https://www.sigmaaldrich.com/IN/en/substance/ammoniumceriumivnitrate5482216774217,skin damage eye irritation respiratory irritation long lasting effect aquatic life,https://pubchem.ncbi.nlm.nih.gov/compound/Cerium_IV_-ammonium-nitrate#datasheet=LCSS&section=GHS-Classification,1
82,Sodium sulfite,Al,AA2024,308,7,0.6,95.5,4.9,https://www.indiamart.com/proddetail/sodium-sulphite-3977770233.html,skin burn skin irritation eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/Sodium%20sulfite#section=Safety-and-Hazards,1
62,"5,5'-Dithiobis(2-nitrobenzoic acid)",Al,AA2024,298,7,0.6,94.4,"109,734.60",https://www.sigmaaldrich.com/IN/en/product/sigma/d8130,skin eye respiratory irritation,"https://pubchem.ncbi.nlm.nih.gov/compound/5,5'-Dithiobis(2-nitrobenzoic%20acid)#section=Safety-and-Hazards",1
