Unnamed: 0,Inhibitor,Metal,Alloy,Temperature_K,pH,Salt_Concentrat_M,Efficiency,Cost/100 gm,Cost,Toxicity,Source,cluster_label
1,"1,2,4-Triazole",Al,AA2024,298,10,0.1,90,4861.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/t46108,"eye irritation ,fertility harm and harmful to aquatic life",https://pubchem.ncbi.nlm.nih.gov/compound/1_2_4-Triazole#section=Safety-and-Hazards,0
2,"1,2,4-Triazole-3-thiol",Al,AA2024,298,4,0.1,90,3177,https://www.sigmaaldrich.com/IN/en/product/aldrich/104558?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fgKw6yFZi3QdoXyfJa8PLh8KJReP2DZqE_hkRFT-MbKGF_kUyNNUS4aAvi2EALw_wcB,"allergic skin,eye irritation and toxic to aquatic life long lasting effect","https://pubchem.ncbi.nlm.nih.gov/compound/1,2,4-Triazole-3-thiol#section=Safety-and-Hazards",3
3,"1,2,4-Triazole-3-thiol",Al,AA2024,298,10,0.1,70,3177,https://www.sigmaaldrich.com/IN/en/product/aldrich/104558?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fgKw6yFZi3QdoXyfJa8PLh8KJReP2DZqE_hkRFT-MbKGF_kUyNNUS4aAvi2EALw_wcB,"allergic skin,eye irritation and toxic to aquatic life long lasting effect","https://pubchem.ncbi.nlm.nih.gov/compound/1,2,4-Triazole-3-thiol#section=Safety-and-Hazards",3
4,"1H-Imidazo[4,5]pyrazine-2-thiol",Al,AA2024,298,4,0.1,50,502056,https://store.apolloscientific.co.uk/product/1h-imidazo45-bpyridine-2-thiol,"skin,eye and respiratory irritation",https://store.apolloscientific.co.uk/product/1h-imidazo45-bpyridine-2-thiol,1
5,2-Mercapto-5-methylbenzimidazole,Al,AA2024,298,4,0.1,80,"8,458.20",https://www.sigmaaldrich.com/IN/en/product/aldrich/263575?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fgJKoOLPeW0y2O4rARmA7OAQhk79XthY5VseB5lymXQniKtk3uyAooaAudHEALw_wcB,"skin,eye and respiratory irritation",https://pubchem.ncbi.nlm.nih.gov/compound/2-Mercapto-5-methylbenzimidazole#section=Safety-and-Hazards,1
6,2-Mercaptoacetic acid,Al,AA2024,298,7,0.1,96,10000,,eye damage toxic aquatic life long lasting effect,,0
7,2-Mercaptobenzimidazole,Al,AA2024,298,4,0.1,60,2530.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/m3205,"allergic skin,eye and respiratory irritation and harmful if inhaled ",https://pubchem.ncbi.nlm.nih.gov/compound/2-Mercaptobenzimidazole#section=Safety-and-Hazards,3
8,2-Mercaptobenzimidazole,Al,AA2024,298,10,0.1,80,2530.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/m3205,"allergic skin,eye and respiratory irritation and harmful if inhaled ",https://pubchem.ncbi.nlm.nih.gov/compound/2-Mercaptobenzimidazole#section=Safety-and-Hazards,3
9,2-Mercaptobenzimidazole,Al,AA2024,298,7,0.1,90,2530.8,https://www.sigmaaldrich.com/IN/en/product/aldrich/m3205,"allergic skin,eye and respiratory irritation and harmful if inhaled ",https://pubchem.ncbi.nlm.nih.gov/compound/2-Mercaptobenzimidazole#section=Safety-and-Hazards,3
10,Thiosalicylic acid / 2-Sulfanylbenzoic acid / 2-Mercaptobenzoic acid,Al,AA2024,298,7,0.1,88,250,https://m.indiamart.com/proddetail/thiosalicylic-acid-21198326930.html,skin and eye irritation,https://sdfine.com/coa/56472MSDS.pdf,1
11,"2-Mercaptobenzothiazole / MBT / 1,3-Benzothiazole-2(3H)-thione",Al,AA2024,298,7,0.1,95,2400,https://www.sigmaaldrich.com/IN/en/product/aldrich/m3302?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fj6DjI7iUieZKrqcUub-0KOAYdl6j69LCOekH-zNU8zI0QFpkezghEaAk-3EALw_wcB,carcinogenic to humans and is very toxic to aquatic organisms,,3
12,2-Mercaptonicotinic acid,Al,AA2024,298,7,0.1,83,8762.25,https://www.chemicalbook.com/ChemicalProductProperty_EN_CB4378840.htm,skin and eye irritation,https://pubchem.ncbi.nlm.nih.gov/compound/2-Mercaptonicotinic-acid,1
13,2-Mercaptopyrimidine,Al,AA2024,298,7,0.1,89,71373,https://www.sigmaaldrich.com/IN/en/product/aldrich/129623?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fiC75hLao6x1gJXkt9HVWr-KA2jDwBpDkzGVYLsbbljJZuhJ6llyrUaAqihEALw_wcB,"skin and eye irritation, and may cause respiratory irritation",https://pubchem.ncbi.nlm.nih.gov/compound/2-Mercaptopyrimidine,1
14,"2,5-Dimercapto-1,3,4-thiaziazole",Al,AA2024,298,4,0.1,80,39240,https://www.sigmaaldrich.com/IN/en/product/mm/815101?utm_source=google&utm_medium=cpc&utm_campaign=15000381723&utm_content=129438260635&gclid=Cj0KCQjwwYSwBhDcARIsAOyL0fiuENjCChWJZHO9M1b4SNRMJe9WR3o_4dBlN_C44-Mm_VsGNAtnxxMaAgJ2EALw_wcB,"eye irritation, chemical conjunctivitis, skin irritation, respiratory tract irritation, and gastrointestinal irritation, including nausea, vomiting, and diarrhea",https://ntp.niehs.nih.gov/sites/default/files/ntp/htdocs/chem_background/exsumpdf/dmct_508.pdf,0
